qSpecies,total_count,average_age_years
Hakea suaveolens :: Sweet Hakea Tree,6,19.666666666666668
Dracaena draco :: Dragon Tree,6,17
Cupressus sempervirens :: Italian Cypress,6,21.666666666666668
Alnus rhombifolia :: White Alder,6,16.333333333333332
Aesculus x carnea :: Red Horse Chestnut,6,25
Aesculus x carnea 'Briotii' :: Ruby Horse Chestnut,6,19.166666666666668
Acer rubrum 'October Glory' :: Red October Glory Maple,6,9.166666666666666
Ulmus pumila :: Siberian Elm,5,18.4
Ulmus americana :: American Elm,5,25.6
Tilia cordata :: Littleleaf Linden,5,10.6
Taxus baccata :: Irish Yew,5,31.8
Potential Site :: Potential Site,5,7.6
Magnolia x soulangiana :: Saucer Magnolia,5,23.2
Magnolia grandiflora 'Majestic Beauty' :: Majestic Beauty Magnolia,5,7.8
Grevillea 'Red Hooks' :: Silk Oak Tree 'Red Hooks',5,24.4
Arecastrum romanzoffianum :: Queen Palm,5,19.4
:: Tree,5,4
Yucca elephantipes :: Giant Yucca,4,19.5
Tilia tomentosa :: Silver Linden,4,6.25
Syzygium paniculatum :: Brush Cherry,4,26.25
Robinia x ambigua 'Purple Robe' :: Purple Robe Locust,4,31.5
Quercus tomentella :: Island oak,4,8.75
Prunus spp :: Cherry,4,31.5
Photinia fraseri :: Photinia Tree,4,30.5
Olea Majestic Beauty ::,4,16.75
Ligustrum japonicum :: Japanese Privet,4,39.25
Lagerstroemia indica :: Crape Myrtle,4,22.25
Grevillea robusta :: Silk Oak Tree,4,27
Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,4,10.5
Eriobotrya deflexa 'Coppertone' :: Coppertone Loquat,4,22
Elaeocarpus decipiens :: Japanese Blueberry Tree,4,29.75
Cercis occidentalis :: Western Redbud,4,12
Albizia julibrissin :: Mimosa Silk Tree,4,13.75
Robinia x ambigua :: Locust,3,27
Pyrus calleryana 'Capital' :: Ornamental Pear Tree 'Capital',3,17
Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,3,16
Platanus racemosa :: California Sycamore,3,25
Pittosporum spp :: Pittosporum spp,3,11.666666666666666
Malus floribunda :: Showy Crab Apple: Japanese Crabapple,3,27.333333333333332
Gleditsia triacanthos 'Sunburst' :: Sunburst Honey Locust,3,27
Ficus Spp. ::,3,10
Ceanothus Sps :: California lilac,3,24.333333333333332
Banksia integrifolia :: Coast Banksia,3,7.666666666666667
Washingtonia filifera :: California Fan Palm,2,5
Tibochina urvilleana :: Princess Flower,2,15
Quillaja saponaria :: Chilean Soapbark,2,10.5
Quercus spp :: Oak,2,26
Pseudotsuga menziesii :: Douglas Fir,2,34.5
Prunus spp 'Purpurea' :: Cherry Plum,2,26
Prunus serrulata 'Mt. Fuji' :: Mt. Fuji Cherry Tree,2,11
Prunus serrulata 'Amanagawa' :: Flowering Cherry Tree 'Amanagawa',2,9
Prunus domestica 'Mariposa' :: Mariposa Plum,2,30
Prunus caroliniana :: Carolina Cherry Laurel,2,17.5
Pittosporum eugenioides :: Tarata,2,19.5
Phoenix dactylifera :: Date Palm,2,22
Olea europaea 'Swan Hill' :: Olive,2,10
Myrica californica :: Pacific Wax Myrtle Tree,2,28
Magnolia grandiflora 'D.D. Blanchard' :: D.D. Blanchard Southern Magnolia,2,10
Liquidambar orientalis :: Oriental Sweet Gum,2,32.5
Koelreuteria bipinnata :: Chinese Flame Tree,2,8.5
Ilex aquifolium :: European Holly,2,30
Howea forsteriana :: Kentia Palm,2,10.5
Gleditsia triacanthos :: Honey Locust,2,11.5
Ginkgo biloba 'Saratoga' :: Ginkgo: Saratoga,2,16
Fraxinus oxycarpa :: Ash,2,20
Ficus macrophylla :: Morton Bay Fig,2,34.5
Eucalyptus globulus :: Blue Gum,2,14.5
Eriobotrya japonica :: Edible Loquat,2,41
Cotoneaster SPP :: Cotoneaster,2,15
Chitalpa tashkentensis ::,2,11
Carpinus betulus :: European Hornbeam,2,12
Brachychiton populneus :: Bottle Tree,2,20.5
Betula spp :: Birch,2,26.5
Betula nigra :: River Birch,2,14
Acer spp :: Maple,2,22
Acer saccharinum :: Silver Maple,2,41
Acacia longifolia :: Golden Wattle,2,8
Acacia decurrens :: Acacia: Silver Wattle,2,12.5
Acacia cognata :: River Wattle,2,12.5
Ulmus spp :: Elm Spp,1,19
Ulmus parvifolia 'Sempervirens' :: Weeping Chinese Elm,1,11
Tilia spp :: Linden,1,4
Tilia americana :: Basswood Linden,1,30
Thuja occidentalis 'Emerald' :: Emerald Arborvitae,1,29
Tecoma stans :: Trumpet bush,1,28
Solanum rantonnetti ::,1,23
Robinia pseudoacacia :: Black Locust,1,26
Quercus rubra :: Red Oak,1,27
Quercus robur :: English Oak,1,7
Quercus lobata :: Valley Oak,1,10
Quercus engelmannii :: Engelmann oak,1,27
Quercus alba :: White oak,1,18
Pyrus spp :: Pear Tree,1,23
Prunus x yedoensis 'Akebono' :: Daybreak Yoshino Cherry,1,11
Prunus subhirtella 'autumnalis' :: Higan Cherry,1,5
Prunus subhirtella 'Pendula' :: Weeping Cherry,1,8
Prunus sargentii 'Columnaris' :: Sargent Cherry Tree 'Columnaris',1,11
Prunus laurocerasus :: English laurel,1,53
Privet ::,1,9
Platanus x hispanica 'Bloodgood' :: Bloodgood London Plane,1,33
Pittosporum tobira :: Japanese Mockorange,1,10
Pinus torreyana :: Torrey Pine,1,28
Pinus thunbergii :: Japanese Black Pine,1,30
Pinus pinea :: Italian Stone Pine,1,9
Picea Spp :: Spruce Spp,1,53
Phoenix spp :: Date palm (species unknown),1,28
Persea borbonia :: False Avocado,1,31
Persea americana :: Avocado,1,69
Palm (unknown Genus) :: Palm Spp,1,22
Metrosideros spp ::,1,29
Malus :: Crab Apple,1,9
Magnolia sargentiana 'Robusta' :: Robusta Magnolia,1,15
Liquidambar styraciflua 'Rotundiloba' :: Roundleaf sweetgum,1,27
Liquidambar styraciflua 'Palo Alto' :: Palo Alto Sweet Gum,1,12
Liquidambar styraciflua 'Festival' :: Festival Sweet Gum,1,19
Leptospermum scoparium 'Snow White' :: New Zealand White Tea Tree,1,6
Lagerstroemia indica 'Tuscarora' :: Tuscarora Crape Myrtle,1,9
Heteromeles arbutifolia :: Toyon,1,4
Gleditsia triacanthos 'Shademaster' :: Honey Locust 'Shademaster',1,39
Fraxinus x Moraine :: Moraine Ash,1,32
Fraxinus ornus :: Flowering Ash,1,13
Ficus laurel ::,1,4
Fagus sylvatica :: European Beech,1,12
Eucalyptus cinerea :: Ash-colored Eucalyptus,1,34
Dicksonia antarctica :: Soft Tree Fern,1,28
Cussonia spicata :: Cabbage tree,1,33
Corymbia maculata :: Spotted Gum,1,5
Cornus florida :: Eastern Dogwood,1,6
Citrus × meyeri 'Improved' :: Improved Meyer Lemon,1,5
Citrus aurantifolia 'Bearss' :: Seedless Lime,1,15
Cercis canadensis :: Eastern Redbud,1,11
Cercis canadensis 'Forest Pansy' :: Forest Pansy Redbud,1,10
Ceiba speciosa :: Silk floss,1,27
Casurina stricta :: Beefwood: Drooping She-Oak,1,29
Cassia excelsa :: Crown of Gold Tree,1,4
Caryota maxima 'Himalaya' :: Himalayan Fishtail Palm,1,17
Brahea edulis :: Guadalupe Palm,1,7
Betula pendula :: European White Birch,1,7
Bambusa spp :: Bamboo Species,1,23
Archontophoenix cunninghamiana :: King Palm,1,27
Araucaria columnaris :: Coral reef araucaria,1,32
Araucaria araucana :: Monkey puzzle,1,9
Alnus cordata :: Italian Alder,1,9
Aesculus x carnea 'O'Neill' :: O'Neill Red Horse Chestnut,1,28
Acer x 'Autumn Blaze' :: Hybrid Maple,1,19
Acer rubrum 'Autumn Glory' :: Red Maple Tree 'Autumn Glory',1,4
Acer palmatum 'Bloodgood' :: Bloodgood Japanese Maple,1,22
Acer negundo :: Box Elder,1,8
